stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
6067,6067,Bluewater Rd After Larry Uteck Blvd (6067),,44.715852,-63.715963,,,,,,0
6069,6069,Auburn Dr Before Auburn Ct (6069),,44.69317,-63.489183,,,,,,0
6070,6070,Auburn Dr After Forest Hills Pkwy (6070),,44.68715,-63.490524,,,,,,0
6071,6071,Auburn Dr After Leander Dr (6071),,44.692924,-63.485745,,,,,,0
6072,6072,Auburn Dr Before Bradorian Dr (6072),,44.693613,-63.487526,,,,,,0
6073,6073,Auburn Dr At Auburn Dr High School (6073),,44.688255,-63.48365,,,,,,0
6074,6074,Auburn Dr Before 1st Bradorian Dr (6074),,44.693398,-63.488405,,,,,,0
6075,6075,Auburn Dr Before 2nd Bradorian Dr (6075),,44.687943,-63.483991,,,,,,0
6076,6076,Auburn Dr Before 2nd Quindora Cr (6076),,44.691071,-63.484504,,,,,,0
6077,6077,Auburn Dr After 1st Serocco Cr (6077),,44.691533,-63.484833,,,,,,0
6078,6078,Auburn Dr Before 2nd Serocco Cr (6078),,44.689984,-63.483848,,,,,,0
6079,6079,Auburn Dr Before Civic 426 (6079),,44.68657,-63.488518,,,,,,0
6080,6080,Auburn Dr Before 1st Hirandale Cr (6080),,44.686786,-63.485269,,,,,,0
6081,6081,Auburn Dr Before Leander Dr (6081),,44.693044,-63.485849,,,,,,0
6082,6082,Avenue du Portage Opposite Madeline Pl (6082),,44.70127,-63.534686,,,,,,0
6083,6083,Baffin Blvd Before Hudson Way (6083),,44.682919,-63.606328,,,,,,0
6084,6084,Barrington St Before Prince St (6084),,44.647564,-63.574306,,,,,,0
6085,6085,Barrington St Before Prince St (6085),,44.646823,-63.573844,,,,,,0
6087,6087,Barrington St After Duke St Bay 1 (6087),,44.650435,-63.575584,,,,,,0
6088,6088,Barrington St After Artz St (6088),,44.656798,-63.585209,,,,,,0
6089,6089,Barrington St After Upper Water St (6089),,44.654262,-63.581979,,,,,,0
6090,6090,Barrington St After Devonshire Ave (6090),,44.663282,-63.592723,,,,,,0
6091,6091,Barrington St After Marjorie Russell Ln (6091),,44.660431,-63.589766,,,,,,0
6092,6092,Barrington St After Green St (6092),,44.637306,-63.569751,,,,,,0
6093,6093,Barrington St Before Green St (6093),,44.637466,-63.569569,,,,,,0
6094,6094,Barrington St After Young St (6094),,44.665016,-63.594832,,,,,,0
6095,6095,Barrington St Before Young St (6095),,44.665128,-63.594932,,,,,,0
6096,6096,Barrington St After South St (6096),,44.640248,-63.570569,,,,,,0
6097,6097,Barrington St Before South St (6097),,44.640182,-63.570554,,,,,,0
6098,6098,Barrington St Before Vestry St (6098),,44.672289,-63.605105,,,,,,0
6099,6099,Barrington St Before Glebe St (6099),,44.672425,-63.605288,,,,,,0
6100,6100,Barrington St At Civic 3356 (6100),,44.668654,-63.600008,,,,,,0
6101,6101,Barrington St Before Artz St (6101),,44.657095,-63.585421,,,,,,0
6102,6102,Barrington St Before Blowers St (6102),,44.645642,-63.573333,,,,,,0
6103,6103,Barrington St After Prince St (6103),,44.646662,-63.573876,,,,,,0
6104,6104,Barrington St Before Cornwallis St (6104),,44.654356,-63.582022,,,,,,0
6106,6106,Barrington St Before Duke St (6106),,44.648806,-63.574755,,,,,,0
6107,6107,Barrington St Before Duke St  Bay 2 (6107),,44.649784,-63.575561,,,,,,0
6109,6109,Barrington St Before Hanover St (6109),,44.666821,-63.597069,,,,,,0
6110,6110,Barrington St Opposite Hanover St (6110),,44.666618,-63.596795,,,,,,0
6111,6111,Barrington St Before Inglis St (6111),,44.636486,-63.569535,,,,,,0
6112,6112,Barrington St Before Kent St (6112),,44.638971,-63.569899,,,,,,0
6113,6113,Barrington St Before Morris St (6113),,44.641547,-63.571195,,,,,,0
6114,6114,Barrington St Before Morris St (6114),,44.641845,-63.571464,,,,,,0
6115,6115,Barrington St Before North St (6115),,44.659341,-63.588726,,,,,,0
6116,6116,Barrington St Before North St (6116),,44.658746,-63.587725,,,,,,0
6119,6119,Barrington St Opposite Richmond St (6119),,44.667923,-63.598383,,,,,,0
6120,6120,Barrington St Before Richmond St (6120),,44.668125,-63.598848,,,,,,0
6121,6121,Barrington St Before Sackville St (6121),,44.645975,-63.573362,,,,,,0
6122,6122,Barrington St Before Spring Garden Rd (6122),,44.644563,-63.572734,,,,,,0
6123,6123,Barrington St Before Spring Garden Rd (6123),,44.644077,-63.572326,,,,,,0
6124,6124,Barrington St After Spring Garden Rd (6124),,44.643955,-63.57257,,,,,,0
6125,6125,Barrington St After Cornwallis St (6125),,44.653405,-63.580832,,,,,,0
6127,6127,Barrington St Opposite Devonshire Ave (6127),,44.663028,-63.592426,,,,,,0
6128,6128,Colby Dr Before Avondale Rd (6128),,44.667529,-63.488708,,,,,,0
6129,6129,Basinview Dr After Atlee Ct (6129),,44.723444,-63.681277,,,,,,0
6130,6130,Basinview Dr After Glen Moir Terr (6130),,44.718514,-63.681039,,,,,,0
6131,6131,Basinview Dr After Hammonds Plains Rd (6131),,44.717472,-63.682465,,,,,,0
6132,6132,Basinview Dr After Wimbledon Rd (6132),,44.723428,-63.678955,,,,,,0
6133,6133,Basinview Dr After Meadowbrook Dr (6133),,44.728037,-63.680677,,,,,,0
6134,6134,Basinview Dr Before Carriageway Ct (6134),,44.723522,-63.68124,,,,,,0
6135,6135,Basinview Dr After 2nd Roy Cr (6135),,44.720079,-63.67958,,,,,,0
6136,6136,Basinview Dr Before Wimbledon Rd (6136),,44.723369,-63.679388,,,,,,0
6137,6137,Basinview Dr Before Granville Rd (6137),,44.725079,-63.682803,,,,,,0
6138,6138,Basinview Dr Before 1st Roy Cr (6138),,44.722001,-63.678391,,,,,,0
6139,6139,Basinview Dr Before Roy Cr (6139),,44.719961,-63.679599,,,,,,0
6140,6140,Basinview Dr Before Glen Moir Terr (6140),,44.718348,-63.681228,,,,,,0
6141,6141,Basinview Dr Opposite Granville Rd (6141),,44.724876,-63.682738,,,,,,0
6142,6142,Basinview Dr After Roy Cr (6142),,44.721693,-63.678531,,,,,,0
6143,6143,St Margarets Bay Rd Opposite Civic 1982 (6143),,44.649376,-63.719427,,,,,,0
6144,6144,St Margarets Bay Rd After Beech Tree Run (6144),,44.636308,-63.680863,,,,,,0
6145,6145,St Margarets Bay Rd At Civic 1817 (6145),,44.645362,-63.711847,,,,,,0
6147,6147,St Margarets Bay Rd Before North Green Rd (6147),,44.637191,-63.700282,,,,,,0
6148,6148,St Margarets Bay Rd Before Wilbert Devoe Cr (6148),,44.644189,-63.708303,,,,,,0
6149,6149,St Margarets Bay Rd At Civic 1939 (6149),,44.648238,-63.717425,,,,,,0
6150,6150,St Margarets Bay Rd At Klefenz Ln (6150),,44.653632,-63.728227,,,,,,0
6151,6151,St Margarets Bay Rd Before Halfmile Ln (6151),,44.658658,-63.738071,,,,,,0
6152,6152,St Margarets Bay Rd After Halfmile Ln (6152),,44.658846,-63.738573,,,,,,0
6153,6153,St Margarets Bay Rd After Lakeside Park Dr (6153),,44.638059,-63.689906,,,,,,0
6154,6154,St Margarets Bay Rd Before Beech Tree Run (6154),,44.636431,-63.680922,,,,,,0
6156,6156,St Margarets Bay Rd After Greenhead Rd (6156),,44.637124,-63.700165,,,,,,0
6157,6157,St Margarets Bay Rd Before Sheppards Run (6157),,44.635752,-63.677101,,,,,,0
6158,6158,St Margarets Bay Rd After Crown Dr (6158),,44.640977,-63.624077,,,,,,0
6159,6159,St Margarets Bay Rd Before Fairmount Rd (6159),,44.640174,-63.624624,,,,,,0
6160,6160,St Margarets Bay Rd After Lakelands Blvd (6160),,44.634635,-63.670245,,,,,,0
6161,6161,St Margarets Bay Rd At Civic 1820 (6161),,44.645439,-63.712249,,,,,,0
6162,6162,St Margarets Bay Rd Before Beech Tree Run (6162),,44.636192,-63.683257,,,,,,0
6163,6163,St Margarets Bay Rd At Civic 1445 (6163),,44.637857,-63.697128,,,,,,0
6164,6164,St Margarets Bay Rd Opposite  Boylan Ln (6164),,44.638062,-63.693115,,,,,,0
6165,6165,St Margarets Bay Rd Before Power Terr (6165),,44.637964,-63.703617,,,,,,0
6166,6166,St Margarets Bay Rd Opposite Power Terr (6166),,44.638146,-63.703972,,,,,,0
6167,6167,St Margarets Bay Rd After Donovon Dr (6167),,44.639541,-63.705407,,,,,,0
6168,6168,Bluewater Rd Opposite Civic 223 (6168),,44.719692,-63.714361,,,,,,0
6169,6169,St Margarets Bay Rd Before Ferndale Dr (6169),,44.639603,-63.62703,,,,,,0
6170,6170,St Margarets Bay Rd At Civic 1922 (6170),,44.647755,-63.716964,,,,,,0
6171,6171,St Margarets Bay Rd Before Alderwood Dr (6171),,44.639038,-63.628493,,,,,,0
6172,6172,St Margarets Bay Rd At Civic 1980 (6172),,44.64934,-63.719453,,,,,,0
